ABET	VBOO; 
acted	is bedryf;  het bedryf;  het opgetree;  is gehandel;  ingewerkte;  het gehandel;  het toneelgespeel;  het toneel gespeel; 
acting	 waarnemend; waarnemende;  toneelspel;  handelend; 
action	 optrede; werking;  inwerking;  aksie;  handeling; 
actions	 werkinge;  handelinge; aksies;  optredes;  inwerkinge; 
active	aktief; 
actively	aktief;  daadwerklik; 
activism	aktivisme; 
activist	aktivis;  aktivisties; 
activists	aktiviste; 
activities	 bedrywighede; aktiwiteite; 
activity	 bedrywigheid; aktiwiteit; 
actor	toneelspeler;  akteur; 
actors	 toneelspelers; akteurs; 
actress	aktrise; 
acts	handel;  handelinge;  bedrywe;  werk in;  wette;  aktes; 
actual	 werklik;  werklike; waar; 
actually	inderdaad;  waarlik;  regtig;  sowaar;  waaragtig;  eintlik;  werklik waar; 
ad	ad lib.; 
ad-hoc	ad hoc; 
adaptation	wysiging;  aanpassing;  verwerking;  aanpassings; 
add	 addeer; optel;  inbring;  byvoeg;  bytel; 
added	 bygetelde; is ingebring;  het ingebring; bygetelde;  bygevoegde; 
adding	 addeer; byvoeging;  word bygetel; 
addition	 byvoeging;  saamvoeging;  optelling;  bytelling; optel;  addisie; 
additional	 bygevoeg; bykomende;  addisioneel;  bykomend; 
address	 adresseer; adres;  redevoering;  toespreek; 
addressed	geadresseer; 
addresses	 adresseer;  redevoerings;  is toegespreek;  het toegespreek;  toespreek; adresse; 
addressing	 adresseer;  redevoering; toespreek; 
adds	 tel op;  bring in;  addeer; optel;  inbring;  byvoeg;  voeg by;  tel by;  bytel; 
adequate	voldoende;  toereikend; 
adequately	genoeg;  geskik; toereikend;  voldoende;  bevredigend; 
adhere	 kleef;  vaskleef; nakom; 
adherence	 aanklewing;  kleefvermoë; nakoming;  klewing;  vasklewing; 
adjourn	verdaag; 
adjourned	verdaagde; 
adjudication	beregting; 
adjusted	 aangepas;  gereël; ingestel;  gekorrigeer; 
adjustment	 stelling;  aansuiwering;  regstelling;  verstelling;  skikking;  aanpassing;  korreksie;  reëling; instelling; 
adjustments	 skikkings; instellings;  stellings;  aansuiwerings;  verstellings;  regstellings;  korreksies;  aanpassings;  reëlings; 
administer	 administreer;  toepas; bestuur;  toedien; 
administered	 toegediende;  geadministreerde; bestuurde;  toepassings; 
administering	 is besig om te bestuur;  administreer;  is besig om toe te dien; bestuur;  toegepaste;  toedien;  is besig om te administreer; 
administration	 uitvoering;  administrasie; bestuur;  toepassing;  toediening; 
administrations	toepassings;  uitvoerings;  toedienings;  besture;  administrasies; 
administrative	administratief; 
administrator	administrateur; 
administrators	administrateurs; 
admissible	toelaatbaar; 
admission	toegang;  opname;  toelating;  inlaat;  erkenning; 
admit	 toelaat; erken;  toegang verleen;  inlaat;  opneem; 
admitted	erkende;  opgeneemde;  het toegang verleen;  ingelate;  toegelate; 
adopt	 aanneem?; aanvaar;  aanneem;  goedkeur; 
adopted	goedgekeurde;  aanvaarde;  aangeneemde; 
adopting	 … aan te neem;  is besig om te aanvaar ; aanvaar;  aanneem; 
adoption	aanvaarding;  aanneming; 
adoptive	aannemend;  aanneem-; 
adopts	aanvaar;  neem aan;  keur goed; 
adult	volwasse;  volwassene; 
adults	 volwasse; volwassenes; 
advance	vordering;  vooruitbespreek;  vooruitbespreking;  vooruitdrywing;  vervroeg;  vorder;  aandraai;  vooruitdryf;  voortbeweeg;  afdrukvervroeging;  voorskot;  vorentoe beweeg;  voorskiet;  vervroeging;  vervroeër;  styg; 
advanced	 gevorderd;  vervroeg; gevorder; 
advancement	 vordering; bevordering; 
advances	 voorskotte;  vooruitbespreek;  vervroegings;  vooruitbespreking; vorder;  vooruitdrywing;  vervroeg;  aandraai;  vooruitdryf;  voortbeweeg;  afdrukvervroeging;  vorentoe beweeg;  voorskiet;  styg; 
advancing	vordering;  vooruitbespreek;  vooruitbespreking;  vooruitdrywing;  vervroeg;  vorder;  aandraai;  vooruitdryf;  voortbeweeg;  afdrukvervroeging;  vorentoe beweeg;  voorskiet;  vervroeging;  styg; 
advantage	voordeel; 
advantages	voordele; 
advent	 wederkoms;  koms; begin; Advent; 
adverse	teenoorstaande; 
adversely	 swaarkry;  nadelig;  negatief;  teëspoed; ongeluk;  ongunstig;  teenspoed; 
adversity	 swaarkry;  nadeel;  teëspoed; ongeluk;  teenspoed; 
advertise	 reklame maak; adverteer; 
advertised	 geadverteerde; het reklame gemaak; 
advertisement	advertensie;  reklame; 
advertising	reklame;  advertensiewese; 
advice	 advies; raad;  berig; 
advise	 aanraai; adviseer;  in kennis stel; 
advised	het in kennis gestel; aangeraaide;  geadviseerde; 
adviser	voorligter; 
advisers	voorligters; 
advisor	adviseur; 
advisories	advieserend; 
advisors	voorligters; 
advisory	advieserend; 
advocacy	bepleiting; 
advocate	 bepleit; advokaat;  bepleiter;  pleitbesorger; 
advocates	bepleit;  advokate;  bepleiters;  pleitbesorgers; 
affairs	sake; 
affect	raak;  voordoen;  beïnvloed;  aantas;  affek;  affekteer; 
affected	aangetas; 
affecting	raak;  voordoen;  beïnvloed;  aantas;  affek;  affekteer; 
affects	raak;  beïnvloed;  aantas;  affek;  affekteer; 
affidavit	beëdigde verklaring; 
affirm	bevestig; 
affirmation	 bekragtiging; bevestiging;  plegtige verklaring; 
affirming	bevestig; 
afford	bekostig; 
affordable	bekostigbaar; 
afforded	bekostig; 
aforementioned	 voorgemelde; bogenoemde; 
aforesaid	 voorgemelde; bogenoemde; 
after	na; 
afternoon	 namiddag; middag; 
again	weer; 
against	teen; 
age	 ouderdom;  hard word;  leeftyd; tydperk;  verouder; 
aged	bejaardes;  bejaard; 
agencies	agentskappe; 
agency	agentskap; 
agenda	 ordelys;  sakelys; agenda; 
agent	 agens; middel;  medium;  agent; 
agents	 agense;  mediums; middels;  agente; 
ages	 leeftye; tydperke;  hard word;  ouderdomme;  verouder; 
aggregate	 toeslag;  aggregaat;  geaggregeer;  kloptotaal;  kollektief;  versamel;  aggregaatdokument;  som; totaal; 
aggrieved	beswaard; 
ago	terug;  gelede; 
agree	 ooreenstem;  akkordeer;  saamstem; instem;  toestem; 
agreed	 onbestrede; ooreengekome;  afgesproke;  volgens afspraak; 
agreement	ooreenkoms;  ooreenstemming;  afspraak; 
agreements	 afsprake; ooreenkomste;  ooreenstemmings; 
agrees	 ooreenstem;  akkordeer;  saamstem; instem;  toestem; 
agricultural	landbou-; 
agriculture	landbou; 
ahead	voor;  vooruit; 
aid	 hulp; help;  bystand;  hulpmiddel; 
aids	vigs;  hulpmiddels; 
aim	 mik; doel;  aanlê;  rig;  oogmerk;  doelwit; 
aimed	 het gerig;  het aangelê; oogmerk;  het gemik; 
aims	 mik;  aanlê;  oogmerke;  doele;  rig; doelwitte; 
air	 lug gee; lug;  hemel;  luggie; 
aircraft	vliegtuig;  lugvaartuig; 
airport	lughawe; 
airports	lughawens; 
albeit	 alhoewel; hoewel; 
alcohol	alkohol; 
alert	 bedag; wakker;  waarskuwing;  helder;  waaksaam;  waarsku; 
alia	 et al.;  onder andere; onder meer; 
align	 beloop bepaal;  spoor;  belyn;  in lyn bring;  instel;  lyn bring; rig;  in die lyn bring;  lynrig; 
aligned	het beloop bepaal;  het gespoor;  het gerig;  het in lyn gebring;  het belyn;  het ingestel;  het in die lyn gebring; 
alignment	 lynrigting;  sporing;  rigtingslyn;  beloopbepaling;  belyning;  in lyn bringing; instelling;  riglyn;  inlynstelling;  rigting;  gerigtheid; 
alike	eenders; 
alive	 onder spanning; lewendig; 
all	 als;  al die;  geheel;  al;  alles;  ganse;  heeltemal;  die hele;  soveel te meer;  elke; alle;  des te beter;  almal; 
allegation	bewering; 
allegations	bewerings; 
alleged	beweerde; 
allegedly	 glo;  beweerde; volgens;  na bewering; 
alleviate	verlig; 
alleviation	vermindering;  versagting;  verligting;  leniging;  stilling; 
alliance	 verbond; alliansie;  familiegroep; 
allocate	 toedeel; toeken;  toewys; 
allocated	toegewese; 
allocation	 toewysing;  toedeling; toekenning; 
allocations	 toewysings; toekennings;  toedelings; 
allow	 toeken; toelaat;  handhaaf; 
allowance	 toelaag;  toelating; toelae;  afslag;  speling; 
allowances	 spelings;  toelatings; toelae; 
allowed	 gehandhaafde; toegekende;  toegelate; 
allowing	 toeken; toelaat;  word gehandhaaf; 
allows	 toeken; toelaat;  handhaaf; 
almost	ongeveer;  nagenoeg;  amper;  omtrent;  haas;  bykans;  byna;  feitlik; 
alone	 alleen; net;  eensaam;  enkel; 
along	 met;  langs;  al langs; in;  saam;  vooruit;  aan;  deur;  die hele tyd;  voort; 
alongside	langsaan; 
already	 alreeds;  nou al; al;  reeds; 
also	insgelyks;  eweneens;  verder; ook;  boonop; 
alter	 wysig;  verstel; verander; 
alternate	 al om die ander; wissel;  alternatief;  afwisselend;  plaasvervanger;  afwissel; 
alternative	alternatief; 
although	 hoewel;  ofskoon; nieteenstaande ;  alhoewel; al; 
always	 aldag;  te alle tye;  altoos;  voortdurend;  steeds;  deurentyd;  aljimmers;  heeldag; altyd;  immer;  gedurig; 
am	is; 
ambassador	ambassadeur; 
ambassadors	ambassadeurs; 
ambient	 omgewings-; ambiënt; 
ambit	kontoer;  buitelyn; 
amend	wysig; 
amended	gewysigde; 
amending	word gewysig; 
amendment	 amendement; wysiging; 
amendments	wysigings;  amendemente; 
amends	wysigings; 
ammunition	ammunisie; 
amnesty	amnestie; 
among	 onder;  uit;  tussen; van; 
amongst	 onder; by;  tussen; 
amount	bedrag;  bedra,;  hoeveelheid; 
amounted	het bedra; 
an	’n; 
analogue	 analogon; analoog; 
analyse	analiseer; 
analysed	geanaliseerde; 
analyses	analises;  ontledings; 
analysing	analiseer; 
analysis	 analise; ontleding; 
ancestor	voorouer; 
ancestors	voorouers; 
ancient	oud;  antiek; 
and	en; 
animal	dier;  animaal;  roofdier; 
animals	diere;  roofdiere; 
animation	 animering; animasie; 
annex	 anneks;  annekseer; aanhangsel;  bygebou; 
annexure	bylae;  aanhangsel; 
anniversary	verjaardag;  bestaansjaar; 
announce	aankondig;  bekend maak; 
announced	 het bekend gemaak; aangekondigde; 
announcement	 afkondiging; aankondiging; 
announcements	 afkondigings; aankondigings; 
announces	aankondig;  bekend maak; 
annual	jaarliks;  eenjarige plant;  eenjarig;  jaarboek;  jaarblad;  jaarlikse publikasie; 
annually	jaarliks;  elke jaar; 
annum	per jaar; jaar;  p.j.; 
another	'n ander; 
answer	antwoord; 
answers	antwoorde; 
antenatal	antenataal;  voorgeboortelik; 
anthem	lied; 
anti-corruption	anti-korrupsie;  teen-korrupsie; 
anticipate	 afwag;  antisipeer; verwag; 
anticipated	verwagte;  geantisipeerde; 
any	 enigsins;  iemand;  iedereen; enige;  elke;  iedere; 
anyone	 enige iemand;  enige een;  iedereen;  elkeen; iemand;  enigeen;  enigiemand; 
anything	iets;  enige iets;  enigiets; 
apparent	 skyn-; duidelik;  skynbaar; 
appeal	 aanloklikheid;  aanspreek;  appelleer;  beroep doen;  aanspraak;  appèl, in;  trekkrag;  beroep;  appèl; trek;  appèl aanteken;  'n beroep doen op; 
appealed	 het 'n beroep gedoen op;  het aanspraak gemaak; het gesmeek; het beroep gedoen;  het beroep uitgeoefen;  het aangespreek;  het geappelleer;  het appèl aangeteken; 
appeals	 aanspreek;  appelleer;  beroep doen;  appèl, in;  trekkrag;  beroep;  appèl; trek;  doen 'n beroep op;  appèl aanteken;  aanloklikhede;  aansprake; 
appear	optree; 
appearance	voorkoms;  verskyning; 
appeared	het opgetree; 
