ABET	VBOO; 
lay	dek;  aanpak;  aanleg;  oorgooi;  leke-;  aanlê;  patroonrigting;  stapel;  lê;  slag;  slaan;  span;  oplê; 
laying	oplê; 
lead	 interlinie;  hoofrolspeelster;  leikant;  voorgaan; lei;  steek;  vooruitdrywing;  voorspeelkaart;  hoofspeler;  vooryl;  deurgang;  hoofrol;  interlinieer;  voorsprong;  hoofrolspeler;  leiding;  geleidraad;  leiblok;  lood;  deurlei;  verlengstuk;  styging;  voorloop;  voorspeel; 
leader	 leikaart; leier;  lokartikel;  voorspeler;  lei-etiket;  leidraad;  konsertmeester;  hoofartikel;  voorpunt;  aanloopstrook;  aanloopband;  hoofloot; 
leaders	leistippels; 
leadership	leierskap; 
leading	 baard;  hoof-; vernaamste;  loodliniëring;  vooruitloping;  reëlspasiëring; 
leads	lei;  hoofrolle;  interlinies;  voorspronge;  interlinieer;  deurgange; leikante;  leidrade;  voorspeelkaarte;  deurlei;  hoofrolspeelsters; leidrade; vrakaarte;  geleidrade;  verlengstukke;  leiblokke;  hoofrolspelers;  hoofspelers; 
leaflet	 biljet; blaartjie;  blaadjie; 
leaflets	biljette;  blaartjies;  blaadjies; 
league	bond;  liga; 
learn	leer; 
learned	hooggeagte;  geleerde; 
learner	 leerling; leerder; 
learners	 leerlinge; leerders; 
learning	leer; 
learnt	geleerde; 
lease	 bruikhuur; huurkontrak;  skikking;  huur;  verhuring;  skik;  bruikhuurkontrak;  verhuur; 
leased	 gehuurde; geskikte;  verhuurde; bruikhuur; 
leasehold	huurpag; 
least	minste;  kleinste; 
leave	 verlof; verlaat; 
leaves	verlaat; 
leaving	verlaat; 
lecture	lesing; 
led	interlinieer;  interlinie;  deurlei; 
left	links; 
leg	sy;  boud;  pyp;  part;  been;  krombalk;  poot; 
legacies	nalatenskappe; 
legacy	nalatenskap; 
legal	wettig;  regs-;  wetlik;  regmatig; 
legally	wettig;  wettiglik; 
legend	 legende; verklaring;  randskrif;  bewoording;  byskrif;  toeligting; 
legendary	 legendaries; legendariese; 
legends	verklarings;  legendes;  bewoordings;  toeligtings;  randskrifte;  byskrifte; 
legislation	wetgewing; 
legislative	 wetgewend; wetgewende; 
legislature	wetgewer; 
legislatures	wetgewers; 
legitimacy	wettigheid; 
legitimate	geldig;  legitiem; 
lend	 uitleen; leen; 
lending	 uitleen; leen;  is besig om uit te leen; 
length	lengte;  duur van les;  lengte van kledingstof; 
less	minder;  min; 
lesser	minder;  kleiner; 
lesson	les; 
lessons	lesse; 
let	verhuur; 
let's	laat ons; 
letter	brief;  letter; 
letters	 letters; briewe; 
level	 egaliseer;  gelyk;  gelyk maak;  waterpas opstel;  egaligheid;  waterpas;  hoogte; vlak;  nivelleerinstrument;  stand;  gelykstel;  platrig;  waterpas maak;  nivelleer;  egalig;  peil;  waterpas stel;  gelykknip;  effen;  gelykmaak; 
levels	 waterpas opstel;  waterpasse;  nivelleerinstrumente;  waterpas maak;  waterpas stel;  hoogtes; vlakke;  peile; 
levied	gehefte; 
levies	heffings; 
levy	heffing; 
liabilities	laste; 
liability	 aanspreeklikheid; las; 
liable	aanspreeklik; 
liaise	skakel met; 
liaison	skakeling;  skakelwerk;  liaison; 
liberalisation	bevryding; 
liberation	bevryding; 
librarian	 diskotekaris; bibliotekaris; 
librarians	 diskotekarisse; bibliotekarisse; 
libraries	biblioteke;  diskoteke; 
library	 diskoteek; biblioteek; 
licence	lisensie;  losbandigheid; 
licences	lisensies; 
license	lisensie;  lisensieer; 
licensed	gelisensieerde; 
licensee	lisensiehouer; 
licensees	lisensiehouers; 
licensing	lisensiëring; 
lie	 leuen;  lê;  leuen vertel; ligging; 
lies	 leuens; liggings;  leuen vertel; 
life	lewe;  vrieshouduur;  leeftyd;  lewensduur;  gebruiksduur; 
lifetime	leeftyd;  lewensduur; 
light	 verlig;  vuurtoring;  opsteek; lig;  aansteek;  belig; 
lighting	 illuminasie;  aansteking;  beligting; verligting; 
like	 gelyk;  dergelike; as; 
likely	aanneemlik; 
limit	 beperking;  grens;  begrens; beperk;  perk;  limiet; 
limitation	 begrensing; beperking; 
limitations	 begrensings; beperkings; 
limited	 begrens; beperk;  beperkte; 
limiting	 beperkend; begrensing; 
limits	 limiete;  begrensings;  beperkings; grense;  perke; 
line	 uitvoer;  reeks;  lyn;  leiding;  reël; voer;  in lyn bring;  dek;  streep;  beklee; 
line-up	uitkenparade; 
lines	 lyne; woorde;  strepe; 
linguistic	linguisties; 
link	 aansluit;  inhaak;  verbinding;  aaneenskakel; skakel;  beuel;  koppel;  verbind;  verbandteken;  binding; 
linkage	skakeling;  koppeling; 
linkages	skakelings;  koppelings; 
linked	geskakel; 
linking	skakeling; 
links	string worsies; 
liquid	 vloei-;  vloeibaar; vloeistof; 
liquidation	likwidasie;  afrekening; 
liquidator	likwidateur; 
liquidity	vloeibaarheid;  likiditeit; 
liquor	 vlotverhouding;  sterk drank;  loog;  vloeistof; drank; 
list	 slagsy;  dwars trim;  pryslys;  lys opstel; lys;  oorhel;  selfkant; 
listed	 oorgehelde;  lys opgestel; gelyste; 
listen	hoor;  luister; 
listing	 lysting; lys; 
lists	lys; 
literacy	geletterdheid; 
literally	letterlik; 
literary	 geletterd;  literêr; letterkundige;  literêre;  geletterde; 
literature	 literatuur;  lektuur; letterkunde; 
litigation	litigasie; 
little	 min;  kleins; klein; 
live	 spanning;  onder spanning; leef;  lewendig;  onder stroom; 
lived	verlewendig;  geleefde; 
livelihood	broodwinning; 
lives	lewens; 
livestock	veeteelt;  lewende hawe; 
living	 lewende; lewe;  lewend; 
load	 las; belasting;  vrag;  laai;  lading;  belas;  belading;  verswaar;  belaai; 
load-shedding	beurtkrag; 
loan	 uitreiking; lening; 
loans	lenings;  uitreikings; 
local	 lokale seël; plaaslik;  lokaal; 
locally	lokaal; 
locate	 posisie sit;  lokaliseer;  opspoor; bepaal;  plek bepaal;  posisie plaas;  in posisie plaas;  posisie bepaal; 
located	 in posisie geplaas;  het posisie bepaal;  opgespoorde;  gelokaliseerde;  het plek bepaal;  het in posisie geplaas; bepaalde;  het in posisie gesit; 
location	 opsporing;  vestiging;  besitsmelding;  staanplek;  posisie;  filmterrein;  lokaliteit; plek;  lokasie;  bronverwysing;  plekbepaling;  posisiebepaling;  ligging;  plasing; 
lock-up	opsluitplek; 
lodge	 woning;  loseer;  jaghuis; huis;  hut;  inwoon;  huisves;  verblyf;  herberg; 
lodged	ingedien;  ingelewer;  klag gelê; 
lodging	kamerlosies; 
logistics	logistieke; 
long	lank; 
long-term	langtermyn-; 
longer	langer; 
look	voorkoms; 
looks	voorkoms; 
loop	 lus maak;  krul;  lus; oog;  boog vorm;  'n lus maak;  uitwykspoor;  lusvlug;  boog;  lus vorm; 
lose	 ontslae raak van; verloor; 
loss	 naloop; verlies;  persentasie; 
losses	verliese;  persentasies; 
lost	verlore;  verdwaal;  verlore gegaan; 
lot	 lot; perseel; 
lottery	lotery; 
love	 liefhê; liefde; 
loved	geliefde; 
lovers	minnaars; 
low	 laagtepunt; laag; 
low-income	lae-inkomste; 
lower	 laat sak;  afhys; onder;  inskuif;  verlaag;  laer;  neerlaat;  onderste; 
lowest	 laagtepunte;  platplekke; laagste; 
ltd	bpk; 
lump	oormaatstuk;  knop;  klontjie;  klont; 
mace	ampstaf;  knots;  foelie; 
machine	 masjineer;  masjienstik;  drukpers;  masjien-; masjien; 
machinery	masjinerie; 
machines	 masjien-; masjiene;  drukperse;  masjienstiksels; 
macro-economic	makro-ekonomies; 
macroeconomic	makro-ekonomies; 
made	 het gegee;  gemaakte; vervaardigde; 
magazine	 magasyn; tydskrif;  populêre tydskrif; 
magazines	 populêre tydskrifte; tydskrifte;  magasyne; 
magisterial	magistraats-; 
magistrate	landdros;  magistraat; 
magistrate's	die magistraat se; 
magistrates	 magistrate; landdroste; 
magnificent	 manjifiek; grootse;  manjifieke; 
magnitude	 magnitude; grootte;  grootheid; 
mail	 harnas; pos;  postrein;  malie; 
main	 hoofleiding;  hoof-;  oop see; belangrikste; 
mainly	hoofsaaklik; 
mainstream	hoofstroom; 
mainstreaming	om in hoofstroom te plaas; 
maintain	 volhou;  in stand hou; onderhou;  handhaaf;  stand hou, in; 
maintained	onderhoue;  gehandhaafde; instandgehou;  stand gehou, in; volhou; 
maintaining	 volhou;  in stand hou; onderhou;  handhaaf; 
maintains	 volhou;  in stand hou; onderhou;  handhaaf;  stand hou, in; 
maintenance	 instandhouding;  handhawing; onderhoud; 
major	groot;  meerderjarige;  hoof-;  majoor;  vername;  meerderjarig;  belangrik;  mondige persoon;  majeur;  meerder-; 
majority	 mondigheid; meerderheid; 
make	 vervaardig; maak;  fabrikaat;  gee; 
maker	maker;  fabrikant; 
makers	 makers; fabrikante; 
makes	 vervaardig;  fabrikate; maak;  gee; 
making	produksielot; 
male	 inpas-;  mannetjie-;  manlik;  mannetjie;  manlike; man;  andries; 
males	mans;  inpas-;  manlikes;  mannetjie-;  manne;  mannetjies; 
mall	voetgangerhof; 
man	 beman; mens;  man;  mensdom; 
manage	 beheer;  regkom; bestuur; 
managed	 het reggekom;  bestuurde; beheerde; 
management	 hantering; bestuur; 
manager	bestuurder; 
managers	bestuurders; 
manages	 beheer;  regkom; bestuur; 
managing	 beheer;  regkom; bestuur; 
mandate	mandaat; 
mandated	mandaat; 
mandates	mandate; 
mandatory	verpligte; 
manifestation	manifestasie; 
manifestations	manifestasies; 
manner	manier; 
manual	handleiding;  hand-;  handboek;  met die hande; 
manufacture	 fabriseer; vervaardig;  vervaardiging;  fabrikaat; 
manufactured	vervaardigde;  gefabriseerde; 
manufacturer	vervaardiger;  fabrikant; 
manufacturing	vervaardiging; 
manuscript	 manuskrip;  handskrif; handgeskrewe; 
manuscripts	manuskripte; 
many	 veel;  heelwat; baie; 
map	 afbeeld;  karteer;  afbeelding; kaart; 
mapping	kartering;  afbeelding; 
maps	 afbeeldings; afbeelde; kaarte;  karteer; 
march	 opruk;  marsjeer; optog;  mars;  optrek; 
marched	 het gemars;  opgerukte; het gemarsjeer; 
margin	 kantlyn;  grens;  kantruimte;  rand;  kantwit;  marge; kant;  speling; 
marginal	 marginaal;  rand-; grens;  kant-; 
marginalised	gemarginaliseerde;  gemarginaliseer;  gemarginaliseerd; 
marginalized	gemarginaliseerde;  gemarginaliseer;  gemarginaliseerd; 
marine	 seewese;  marine;  see-; mariene;  marine-;  marien; 
maritime	maritiem;  see-; 
mark	 dophou;  punt; toekenning;  afmerk;  markeer;  punte toeken;  skoonvang;  merk; 
marked	 gemerkte;  geteken;  nagesiende;  nagesien;  getekende; gemerk;  gekenmerk;  getekend; 
market	 bemark; mark;  afsetgebied; 
marketing	bemarking; 
markets	 bemark; markte;  afsetgebiede; 
marking	 merkwerk;  tekening; merk; 
marks	 dophou;  afmerk;  markeer;  punte toeken; punte; merk;  punte;  toekennings;  skoonvang; 
marriage	huwelik;  bruilof; 
marriages	huwelike; bruilofte; 
married	getroud; 
mass	massa;  massa-; 
massive	enorme;  massiewe;  yslike; 
master	meester;  meester-;  baas-;  gesagvoerder; 
master's	meesters-; 
match	 passing;  ooreenstem;  vuurhoutjie;  laat kragte meet;  bypas;  kleurgelykheid;  op mekaar pas;  pas (by);  pas;  afpaar;  aanpas; paar;  saamval;  ooreenkom;  gelyke;  wedstryd; 
matches	vuurhoutjies; 
material	 doek;  materieel; materiaal;  wesenlik; 
materially	materieel; 
materials	benodigdhede; 
maternal	moederlik; 
mathematical	wiskundig; 
mathematics	 matesis; wiskunde; 
matric	matriek; 
matrimonial	 huweliks-; egtelik; 
matter	 materie;  stof;  etter;  setsel; stowwe; 
matters	 materie;  stof;  setsels; stowwe; 
maturity	 rypheid; volwassenheid; 
max	maksimum;  maks.; 
maximise	 maksimeer; vermeerder; 
maximum	maksimum; 
may	kan;  mag; 
maybe	dalk; 
mayor	burgemeester; 
mayors	burgemeesters; 
me	ek; 
mean	 middelbaar;  middel;  gemiddeld;  gemeen; beteken;  bedoel;  gemiddelde; 
meaning	 bedoeling; betekenis; 
meaningful	betekenisvol; 
meaningfully	betekenisvol; 
meanings	 bedoelings; betekenisse; 
means	middele; 
meant	 het gemeen;  betekende; bedoelde; 
measurable	meetbaar; 
measure	 maathouer;  laag;  gewigsmaat;  inhoudsmaat;  meting; mate;  maatstaf;  maatreël;  afmeet;  meet;  opmeet;  tydmaat;  meetband;  setbreedte;  maat;  lengtemaat; 
measured	opgemeet; 
measurement	 meting; maat;  afmeting; 
measures	 maatreëls; formasie; 
measuring	meting; 
mechanical	 meganies-; meganies;  werktuigkundig; 
mechanism	meganisme;  meganiek; 
mechanisms	meganisme; meganiek; 
mediation	bemiddeling; 
medical	mediese;  medies; 
medicine	medisyne; 
medicines	medisynes; 
medium	 mediaan;  medium-; middel;  medium;  middelmatig; 
medium-term	mediumtermyn; 
meet	ontmoet; 
meeting	vergadering; 
meetings	vergaderings; 
meets	ontmoet; 
mega	mega-; 
melting	smelting; 
member	 raamdeel;  lid; deel; 
member's	die lede se; 
members	lede;  raamdele; dele; 
membership	lidmaatskap;  ledetal; 
memorable	gedenkwaardig; 
memorial	 gedenkskrif;  gedenkteken;  gedenk-; petisie; 
memories	 rekenaargeheues; geheues; 
memory	 rekenaargeheue; geheue; 
men	mense;  bemande;  mans; 
mental	 mentaal; verstandelik;  geestelik; 
mentally	verstandelik; 
mention	meld; 
mentioned	gemelde; 
menu	spyskaart;  kieslys; 
merchant	handelaar; 
mere	bloot;  blote; 
merely	 net; maar;  blootweg;  alleen;  enkel;  slegs; 
merger	 skuldvermenging; samesmelting; 
merit	meriete;  verdienstelikheid; 
merits	meriete;  verdienstelikhede; 
message	boodskap;  berig; 
messages	berigte;  boodskappe; 
messenger	boodskapper; 
met	het ontmoet; 
metal	metaal; 
metals	metale; 
method	metode;  metodiek; 
methodology	 metodeleer; metodologie; 
methods	metodes;  metodieke; 
metro	moltrein; 
metropolitan	 metropolitaans; metropool; 
micro	mikro; 
middle	middel;  middel-;  middelstuk; 
midst	midde-in; 
might	 mag vermoë;  kan dalk; krag;  sou kan; 
migration	 migrering;  verhuising; migrasie; 
milestone	mylpaal; 
milestones	mylpale; 
military	weermag;  militêr; 
milk	melk; 
million	miljoen; 
millions	miljoene; 
mind	gees;  verstand; 
mindful	gedagtig aan; 
minds	verstande;  geeste; 
mine	 myn;  tonnel;  delf; ontgin; 
mineral	 mineraalwater;  delfstof-; mineraal;  delfstof; 
minerals	koeldrank; 
mines	 ontginde; myne;  tonnel;  delf; 
minimise	minimaliseer;  minimeer, minimaliseer;  verklein;  minimeer; 
mining	mynbou;  mynwese;  ontginning; 
minister	minister;  leraar;  predikant; 
minister's	die minister se; 
ministerial	ministerieel; 
ministers	ministers;  predikante;  leraars; 
ministry	 bediening; ministerie; 
minor	minder;  klein werker;  minor;  minderjarige;  minderjarig;  minderjarige persoon;  klein;  ondergeskik;  minder-; 
minority	 minderjarigheid; minderheid; 
minutes	notule; 
misconduct	wangedrag; 
misleading	misleiding; 
missing	ontbrekende;  ontbrekend; 
mission	 sending; missie; 
missions	missies;  sendings; 
mitigate	 versag; verlig; 
mitigation	 leniging;  matiging;  versagting; verligting;  tempering;  mitigasie; 
mix	 aanmaak; meng;  bêremengsel;  aanmaaksel;  mengsel; 
mixed	gemeng; 
mobile	beweeglik;  mobiel; 
mobilisation	 mobilisasie; mobilisering; 
mobilise	mobiliseer; 
mobility	 mobiliteit; beweeglikheid; 
model	 modelleer;  vertoon; voorbeeld;  klere vertoon;  model; 
models	 voorbeelde;  modelle;  modelleer;  klere vertoon; vertoon; 
moderate	 gematigde;  matig; afneem; 
modern	byderwets;  modern; 
modernisation	modernisering; 
modified	gewysig; 
modify	 modifiseer;  aanpas; wysig;  verteerbaarder maak; 
moment	 moment; oomblik;  tydstip; 
moments	 tydstippe; oomblikke; 
monetary	 geldelik;  monetêr; geldelike;  monetêre; 
money	geld; 
moneys	gelde; 
monitor	 likkewaan; moniteer;  skerm;  monitor; 
monitored	 gemoniteerde; geskermde; 
monitoring	 gasmonsterneming; monitering; 
monitors	moniteer;  skerms;  likkewane;  monitors; 
month	maand; 
monthly	maandeliks;  maandelikse publikasie; 
months	maande; 
monuments	monumente; 
moral	moreel;  moraal;  sedelik;  sedeles; 
more	meer; 
moreover	 voorts;  buitendien;  te meer;  bowendien, daarenbowe; verder; 
morning	oggend; 
mortality	 mortaliteit;  sterflikheid;  afsterwing;  uitsaksyfer; sterfte;  sterftesyfer;  stertesyfer; 
mortgage	verband; 
most	mees; 
mostly	 meestal;  grotendeels;  meesal; gewoonlik;  hoofsaaklik; 
mother	 ma; moeder; 
mothers	 ma's; moeders; 
motion	 mosie; voorstel;  opelyf;  beweging;  meganisme; 
motions	meganismes;  mosies;  bewegings; voorstelle; 
motivation	motivering;  gemotiveerdheid; 
motor	 motor ry;  pordraai;  vrydraai;  motories; motor;  aandryf; 
motto	 wapenspreuk;  leuse; motto; 
mountain	berg; 
mountains	berge; 
mounted	gemonteerde; 
mouth	mond;  bek;  riviermonding; 
movable	verskuifbaar;  beweegbaar; 
move	 verskuif;  voorstel;  aansoek doen;  wissel;  beweging;  skuif;  trek; indien;  roer;  beweeg; 
moved	 verskuifde;  aansoek gedoen;  geroerde;  beweegde; trek;  ingediende;  geskuifde;  beweging;  voorgestelde;  gewisselde; 
movement	 verskuiwing; beweging;  wisseling;  meganiek; 
movements	 verskuiwings; bewegings;  meganiek;  wisselings; 
moves	 verskuif;  roerings;  voorstel;  skuiwe;  aansoek doen;  wissel;  beweging; indien;  trekke;  beweeg; 
movie	rolprent; 
moving	 bewegend; skuif; 
much	 erg;  veel;  seer; baie; 
multi-party	veelparty-; 
multilateral	multilateraal;  meersydig; 
multilingual	veeltalige;  veeltalig; 
multilingualism	veeltaligheid; 
multiparty	veelparty-; 
multiple	veelvoud;  meervoudig;  veelvoudig; 
municipal	 munisipaal; munisipale; 
municipalities	munisipaliteite; 
municipality	munisipaliteit; 
mural	 muurskildery; muur-;  muurskildering; 
murals	muurfoto's;  muur-; muurborduurstukke;  muurskilderye; 
murder	 vermoor; moord; 
music	musiek; 
musical	musiekblyspel;  musiekvertoning; 
musician	musikant;  musikus; 
musicians	 musikante; musikusse;  musici; 
must	mos; 
mutual	onderling; 
mutually	onderling; 
name	 bekend maak;  noemer;  noem; naam; 
named	benoemde;  bekendgemaakte; 
namely	naamlik; 
names	 bekend maak;  noem; naam; 
narrative	 relaas; verhaal; 
narrow	 see-engte; nou;  rivierengte;  vernou;  smal;  versmal; 
natal	 boud-;  geboorte-; Natal; 
nation	nasie; 
nation-building	nasiebou; 
national	nasionaal; 
nationality	nasionaliteit; 
nationally	nasionaal; 
nationhood	nasieskap; 
nations	nasies; 
native	 naturel;  boorling; inheems;  ingebore; 
natural	natuurlike;  natuurlik;  natuurkleur;  herstellingsteken;  gebore toneelspeler; 
nature	 natuur;  geaardheid;  gesteldheid; aard; 
near	naby; 
nearest	naaste; 
nearly	ongeveer;  ampertjies;  nagenoeg;  amper;  haas;  bykans;  byna; 
necessarily	 noodwendig; noodsaaklik; 
necessary	 noodsaaklik; nodig; 
need	 nodig hê;  noodsaaklikheid; behoefte; 
needed	het nodig gehad; 
needs	 nodig hê; behoeftes; 
negative	negatief;  ontkennend; 
negatively	negatief; 
neglect	 veronagsaam;  verwaarlosing;  verwaarloos; versuim; 
neglected	 verontagsaamde; verwaarloosde;  versuimde; 
negligence	nalatigheid; 
negotiate	onderhandel; 
negotiated	onderhandelde; 
negotiating	onderhandel; 
negotiation	onderhandeling; 
negotiations	onderhandelings; 
neighbouring	aangrensend; 
neither	 nóg; geeneen;  nie een van die twee nie; 
net	net;  netwerk;  netto; 
network	net;  netwerk;  netwerkversiering; 
networking	netwerkgebruik; 
networks	 netwerkversierings;  nette; netwerke; 
never	nooit; 
nevertheless	 desondanks;  nietemin; nogtans;  desnieteenstaande; 
new	nuut; 
newly	 nuut;  vars; pas; 
news	nuus; 
newsletter	nuusbrief; 
newsletters	nuusbriewe; 
newspaper	 koerantpapier; koerant; 
newspapers	 koerantpapiere; koerante; 
newsroom	nuuskantoor; 
next	volgende; 
night	nag; 
nine	nege; 
no	nee; 
noble	edel;  adellik;  edelman; 
nominal	 nominaal; naam-; 
nominate	nomineer; 
nominated	genomineerde; 
nomination	nominasie; 
nominations	nominasies; 
non	nie;  nie-;  kloostervrou; 
non-compliance	nienakoming; 
non-governmental	nie-regering-; nie-staats-; nie-owerheids-;  niestaats-; nieregering-; 
non-profit	sonder winsbejag;  sonder winsoogmerk; 
non-racial	nierassig; 
non-racialism	 nierassigheid; nie-rassigheid; 
non-refundable	nieherbefondsbaar; nieterugbetaalbaar; 
non-sexism	nieseksisme; 
non-sexist	nieseksisties; 
non-tax	buite belastingverband; 
none	 niks; niemand;  geeneen; 
nor	nóg; 
norm	 normeer; norm; 
normal	 loodreg; normaal;  loodlyn; 
normally	normaalweg; 
norms	normeer; 
north	 noordwaarts; noord;  noord-;  noorde; 
northern	noordelik;  noord-;  ; 
not	nie;  nié; 
notable	 opmerklik;  vernaam;  aanmerklik; belangrik;  aansienlik;  merkwaardig;  hooggeplaaste; 
notably	merkbaar;  veral, vernaamlik; 
note	 noteer;  oplet;  aantekening;  opmerking;  kennis neem van; aanteken;  nota;  noot;  banknoot;  annotasie; 
noted	genoteer; 
notes	lesaantekeninge; 
nothing	niks; 
notice	 resensie;  opmerk;  aandag; kennisgewing;  diensopsegging;  merk; 
notices	 opmerk;  diensopseggings;  resensies; merk;  kennisgewings; 
notification	 aanmelding; kennisgewing; 
notified	kennis gegee; 
notify	kennis gee; 
noting	 om aan te teken;  noteer;  om op te let;  oplet;  om kennis te neem van;  kennis neem van; aanteken; 
notion	begrip;  denkbeeld; 
notwithstanding	nieteenstaande; 
novel	roman; 
now	nou; 
nuclear	 kern-; kern; 
null	nul; 
number	 nommertjie;  nommer;  tal; aantal;  aflewering;  getal; 
numbers	getalle;  nommers; 
numerous	talryk; 
nurse	 verpleegkundige;  soog;  pleegwerker; versorg;  verpleeg;  verpleegster; 
nurses	 om te soog;  soog;  verpleegsters;  pleegwerkers; versorgers;  verpleegkundiges;  verpleërs; 
nursing	verpleging; 
nurture	kweek;  versorging; 
nurturing	kweek; 
nutrition	 voeding; voedsel; 
oath	eed; 
object	voorwerp;  objek;  beswaar maak; 
objection	beswaar;  teëkanting; 
objections	 teëkantings; besware; 
objective	 spesifieke doelstelling;  objek-;  doelwit;  objektief; doel;  doelstelling; 
objectives	 doelstellings;  objektiewe; doelwitte;  spesifieke doelstellings;  doele; 
objects	doelstellings; 
obligation	verband;  verpligting; 
obligations	 verpligtings; verbande; 
oblige	verplig; 
obliged	verpligte; 
observatory	observatorium;  sterrewag; 
observe	 observeer;  peil; waarneem; 
observed	het ....... gewaar; 
obsolete	 weggekwyn; verouderd;  in onbruik; 
obtain	verkry; 
obtainable	verkrygbaar; 
obtained	verkrewe; 
obtaining	verkrewe; 
obvious	klaarblyklik; 
obviously	 ooglopend; duidelik;  begryplikerwyse;  klaarblyklik; 
occasion	 okkasie; geleentheid; 
occasions	geleenthede;  okkasies; 
occupation	beroep;  nering;  besetting; 
occupied	 geokkupeerde; besette; 
occupy	beset;  okkupeer; 
occurred	het voorkom; 
occurrence	 gebeurtenis; voorkoms; 
occurring	voorkom; 
occurs	voorkom; 
ocean	oseaan; 
of	 de;  na; van; 
off	 gedaan; af;  op die hoogte van; 
offence	 vergryp;  krenking;  aanstoot; misdryf;  oortreding; 
offences	 oortredings;  vergrype;  aanstote;  krenkings; misdrywe; 
offender	oortreder; 
offenders	oortreders; 
offer	aanbied; 
offered	aangebode; 
offering	offerande; 
offerings	offerandes; 
offers	aanbiedinge; 
office	kantoor;  amp; 
office-bearers	 ampsdraers; ampsbekleders; 
officer	beampte;  offisier;  amptenaar; 
officers	 beamptes; amptenare;  offisiere; 
offices	 ampte; kantore; 
official	beampte;  amptelike seël;  amptenaar;  amptelik;  amptelike stempel; 
officially	amptelik; 
officials	 beamptes; amptenare; 
offset	 laat afwyk;  verskuiwing;  kompensasiefaktor; afwyking;  syloot;  verskuif;  wegstand;  uitlynplasing;  verplaser;  laat afgee;  wanpassing;  verplasing;  rubberdruk;  tydsverskil;  uit lyn plaas;  uit die lyn stel;  uitskuif;  verplaas;  verspringing;  knikpyp;  wegstand neem;  kontrasteer;  swaai; 
offshore	aflandig; 
often	 gereeld; dikwels; 
oil	olie; 
old	oud; 
older	ouer; 
oldest	oudste; 
omission	 uitlating;  omissie;  late; weglating; 
omissions	 omissies; weglatings;  uitlatings; 
on	op; 
on-going	aanhoudende; voortgesette;  voortgaande;  lopende;  voortslepende;  gebeurtenis;  voortgang;  voortdurende;  durende; 
once	een keer; 
once-off	eenmalig; 
one	een; 
ongoing	aanhoudende; voortgesette;  voortgaande;  lopende;  voortslepende;  gebeurtenis;  voortgang;  voortdurende;  durende; 
online	 gekoppel; aanlyn; 
only	net;  alleenlik;  enigste;  slegs; 
onto	 na;  bo-op;  tot; op;  by; 
open	 loswoel;  oopgaan; oop;  insit;  oopmaak; 
opened	 ingesitte; het oopgegaan;  oopgemaakte;  het oopgemaak;  losgewoelde; 
opening	opening;  bekwydte;  aanhef;  loswoeling; 
opens	 loswoel;  oopgaan; oop;  insit;  oopmaak; 
operate	 bedryf;  in werking stel;  bedien;  werking stel;  inwerk;  opereer;  aandryf; werk; 
operated	 gewerkte;  geopereerde; bedryf;  bediende;  in werking gestel;  ingewerkte; werking gestel;  aangedrewe; 
operates	 bedryf;  in werking stel;  bedien;  werking stel;  inwerk;  opereer;  aandryf;  om aan te dryf; werk; 
operating	beslissings-; 
operation	 bedryf;  bewerking;  onderneming;  werking;  handeling;  operasie;  inwerkingstelling;  bedrywigheid;  bediening;  aandrywing; werk; 
operational	operasioneel; 
operations	verrigtinge; 
operator	 operatorgeen;  eksploitant; werker;  operateur;  operator;  bediener;  hanteerder; 
operators	 bedieners;  eksploitante; werkers;  operateurs;  operators;  hanteerders; 
opinion	mening; 
opinions	menings; 
opportunities	geleenthede; 
opportunity	geleentheid; 
oppose	opponeer; 
opposed	geopponeerde; 
opposite	 teengestelde;  teenoorstaande;  teenoorstandig; teenoorgestelde; 
opposition	 kwadratuur;  opposisie; weerstand; 
oppressed	verdruktes;  ondergedruk;  verdruk;  onderdruktes; 
oppression	verdrukking;  beklemming; 
oppressive	verdrukkend; 
optimal	optimaal; 
optimism	optimisme; 
option	opsie; 
options	opsies; 
or	of; 
oral	mondelinge;  mondeling;  mond-;  oraal; 
orange	 lemoen; oranje; 
orchestra	orkes; 
order	 orde;  order;  bestelling; bevel;  gelas;  orden;  opdrag;  volgorde;  beveel;  bestel;  rangorde; 
ordered	georden; 
orders	orders;  bevele; 
ordinance	wet;  ordonnansie; 
ordinarily	 in die reël; gewoonlik;  normaalweg; 
ordinary	gewone;  gewoon; 
org	organisasie; 
organ	orgaan;  orrel; 
organisation	organisasie;  organisering; 
organisational	organisasie-; 
organisations	organisasies; 
organised	georganiseer; 
organisers	organiseerders; 
organising	organiseer; 
organization	organisasie; 
organizations	organisasies; 
organized	 georganiseer; georganiseerde; 
organizers	organiseerders; 
organs	spraakorgane; 
orientation	oriëntering;  oriëntasie; 
origin	 nulpunt;  pool; ontstaan;  oorsprong;  hegpunt;  herkoms; 
original	oorspronklike;  oorspronklike band;  oorspronklik; 
originally	oorspronklik; 
origins	 hegpunte; pole; oorsprong;  oorspronge; 
other	ander; 
others	ander; 
otherwise	andersins; 
ought	behoort te; 
our	ons; 
ours	ons s’n; 
ourselves	onsself; 
out	uit; 
outcome	 uitslag; einde;  uitkoms; 
outcomes	uitslae; 
outdoor	buitenshuise;  buite-; 
outgoing	uitgaande; einde;  heen-;  uitgawes;  onkoste;  vertrekkend;  uitgaan; 
